,title,year,genres,description,rating
0,Bahubali: The Beginning,2015,"Action, Drama            ","    In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",8.1
1,Baahubali 2: The Conclusion,2017,"Action, Drama            ","    When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",8.2
2,1 - Nenokkadine,2014,"Action, Thriller            ",    A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,8.1
3,Dhoom:3,2013,"Action, Thriller            ","    When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",5.4
4,Ra.One,2011,"Action, Adventure, Sci-Fi            ","    When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",4.6
5,Dhoom:2,2006,"Action, Thriller            ","    Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them.",6.5
6,Eega,2012,"Action, Fantasy            ",    A murdered man is reincarnated as a housefly and seeks to avenge his death.,7.7
7,Krrish 3,2013,"Action, Sci-Fi            ","    Krrish and his scientist father have to save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya.",5.2
8,Arjun Reddy,2017,"Action, Drama, Romance            ","    Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",8.1
9,Rangasthalam,2018,"Action, Drama            ","    The fear of his elder brother's death starts to haunt an innocent, hearing impaired guy after they both join forces to overthrow the unlawful 30 year long regime of their village's president.",8.4
10,Magadheera,2009,"Action, Drama, Fantasy            ","    A bike stuntman recalls his previous life as a warrior, and pursues his love's reincarnation. A sinister figure from their shared past threatens to separate them forever.",7.6
11,War,2019,"Action, Thriller            ",    An Indian soldier chases after his mentor who has gone rogue following an unexpected kill.,6.5
12,Bharat Ane Nenu,2018,"Action, Drama            ","    Bharat, an young graduate, becomes the C.M of Andhra Pradesh (pre-div) after his father demise without any political knowledge, faces challenges in the process of reform the society.",7.7
13,Saaho,2019,"Action, Thriller            ","    An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box,"" their ultimate key to a treasure.",5.2
14,Theri,2016,"Action, Drama            ","    When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces.",7.1
15,Dookudu,2011,"Action, Comedy            ","    Ajay, (Mahesh Babu) an undercover cop, is assigned to catch a dangerous mafia don with whom he has a personal score to settle.",7.4
16,Pokiri,2006,"Action, Thriller            ","    A local goon's killer instincts earn him his girlfriend's disapproval, a corrupt cop's enmity and a wanted don's attention.",7.9
17,Sarkar,2018,"Action, Drama            ","    An NRI businessman learns his vote has been cast by someone else and decides to investigate the matter, eventually finding himself pitted against two corrupt politicians.",6.8
18,Athadu,2005,"Action, Thriller            ","    A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.",8.2
19,The Ghazi Attack,2017,"Action, Thriller, War            ","    A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21.",7.6
20,Kabali,2016,"Action, Crime, Drama            ","    Returning from prison, aged gangster Kabali confronts those who had destroyed his life. While doing so, he learns about what had happened to his family when he was gone.",6.2
21,MSG: The Messenger of God,2015,"Action, Comedy, Drama            ",    Guru Ji is a social reformer who works to help people fight against social evils.,5.9
22,Nanban,2012,"Comedy, Drama            ","    10 years after finishing college, two best friends and their enemy go on a search for their third friend, while finding out some truths along the way.",7.4
23,Srimanthudu,2015,"Action, Drama            ","    Harsha, a multi-millionaire who has everything, still feels that there is something missing in his life. In an attempt to fill the void, he adopts a village to bring change in the people.",7.5
24,Veer - Vivegam,2017,"Action, Thriller            ",    An Interpol agent betrayed by his friends sets out to take revenge against the friends who work for a secret agency.,5.6
25,Billa 2,2012,"Action, Thriller            ","    Small-time diamond smuggler David befriends Goa-based gangster Abbasi. But when David begins to build inroads with an international gangster, Abbasi is not happy. Soon the two turn into bitter rivals.",6.2
26,Manam,,"Comedy, Drama, Fantasy            ","    Through reincarnation, family members are able to cross generations and meddle in each others' lives.",8
27,7 Aum Arivu,2011,"Action, Sci-Fi, Thriller            ",    A genetic engineering student tries to bring back the skills of a legend of the past and use his skills to save India from a deadly virus attack by China.,6.2
28,Bigil,2019,"Action, Drama, Sport            ",    A former football player struggles to train a women's football team and avenge his father's death.,6.8
29,Business Man,2012,"Action, Crime            ",    Surya arrives in Mumbai to revive the mafia and ends up making enemies who threaten his life.,7.1
30,Geetha Govindam,2018,"Drama, Romance            ",    An innocent young lecturer is misunderstood as a pervert and despised by a woman who co-incidentally turns out to be the younger sister of his brother-in-law. Eventually differences subside and love blooms between them.,7.7
31,Mahanati,2018,"Biography, Drama            ","    Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",8.5
32,Spyder,2017,"Action, Thriller            ",    An intelligence officer attempts to save the city from a psychotic serial killer who kills people just to hear their loved ones cry.,6.6
